"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"20.06.2023","173,80","172,30","175,00","169,24","8,86M","0,87%"
"19.06.2023","172,30","164,82","172,98","162,12","10,82M","4,74%"
"16.06.2023","164,50","166,30","166,32","163,00","4,97M","-1,03%"
"15.06.2023","166,22","158,54","166,50","157,00","9,81M","5,22%"
"14.06.2023","157,98","159,52","161,26","156,52","4,86M","-1,00%"
"13.06.2023","159,58","153,00","159,78","152,60","4,14M","4,67%"
"09.06.2023","152,46","151,28","153,60","151,18","2,94M","0,98%"
"08.06.2023","150,98","149,50","151,70","148,56","2,73M","0,80%"
"07.06.2023","149,78","148,20","151,72","147,74","3,04M","1,15%"
"06.06.2023","148,08","148,02","148,72","146,22","3,08M","-0,51%"
"05.06.2023","148,84","153,00","153,42","148,08","4,77M","-1,78%"
"02.06.2023","151,54","148,62","152,00","146,50","6,92M","2,47%"
"01.06.2023","147,88","146,68","149,60","146,68","5,79M","0,49%"
"31.05.2023","147,16","143,62","147,72","143,62","4,89M","2,48%"
"30.05.2023","143,60","141,24","146,70","140,16","10,73M","1,34%"
"29.05.2023","141,70","141,00","142,80","138,66","13,29M","1,68%"
"26.05.2023","139,36","138,34","139,84","137,38","3,76M","1,09%"
"25.05.2023","137,86","134,82","139,30","134,14","6,67M","2,36%"
"24.05.2023","134,68","135,38","135,40","132,42","4,63M","-0,12%"
"23.05.2023","134,84","133,00","136,40","132,20","4,11M","1,35%"
"22.05.2023","133,04","136,00","136,82","132,70","2,96M","-1,14%"
"19.05.2023","134,58","134,42","135,46","133,42","2,76M","-0,15%"
"18.05.2023","134,78","133,64","135,68","133,24","4,49M","0,85%"
"17.05.2023","133,64","132,80","133,74","131,30","2,20M","0,59%"
"16.05.2023","132,86","133,52","134,40","132,12","2,73M","-0,23%"
"15.05.2023","133,16","130,80","134,00","130,14","4,29M","2,72%"
"12.05.2023","129,64","128,80","131,20","127,30","4,16M","0,68%"
"11.05.2023","128,76","130,84","132,30","127,30","5,18M","-1,24%"
"10.05.2023","130,38","127,22","130,66","127,22","2,81M","2,48%"
"08.05.2023","127,22","127,82","128,08","125,88","1,41M","-0,09%"
"05.05.2023","127,34","129,46","129,96","126,70","4,01M","-1,64%"
"04.05.2023","129,46","129,80","131,76","126,72","5,75M","-0,26%"
"03.05.2023","129,80","133,34","135,50","128,34","7,36M","-2,65%"
"02.05.2023","133,34","136,70","138,00","132,50","4,96M","-2,87%"
"28.04.2023","137,28","139,42","139,50","136,36","2,88M","-1,44%"
"27.04.2023","139,28","135,60","139,32","135,60","2,50M","2,04%"
"26.04.2023","136,50","137,94","138,86","136,00","2,06M","-1,24%"
"25.04.2023","138,22","139,02","139,38","137,70","1,68M","-0,70%"
"24.04.2023","139,20","139,90","140,30","138,16","2,11M","-0,51%"
"21.04.2023","139,92","140,46","140,88","138,04","2,94M","-0,17%"
"20.04.2023","140,16","138,10","141,82","135,60","5,28M","1,20%"
"19.04.2023","138,50","137,70","142,30","135,34","11,63M","0,77%"
"18.04.2023","137,44","132,50","138,00","131,74","8,58M","3,65%"
"17.04.2023","132,60","131,98","132,90","131,20","3,30M","0,96%"
"14.04.2023","131,34","130,20","131,50","129,62","2,51M","0,78%"
"13.04.2023","130,32","130,82","131,20","129,20","2,32M","-0,12%"
