"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"11.01.2024","6.972,5","6.965,0","6.995,0","6.930,5","423,59K","0,22%"
"10.01.2024","6.957,0","6.935,0","7.023,0","6.923,0","712,61K","0,38%"
"09.01.2024","6.931,0","6.780,0","6.942,0","6.750,5","846,71K","2,43%"
"08.01.2024","6.766,5","6.783,0","6.804,5","6.756,0","215,76K","-0,20%"
"05.01.2024","6.780,0","6.771,5","6.794,5","6.770,5","107,61K","0,13%"
"04.01.2024","6.771,0","6.804,5","6.811,5","6.763,5","183,41K","-0,48%"
"03.01.2024","6.803,5","6.774,0","6.805,0","6.745,5","202,49K","0,96%"
"29.12.2023","6.739,0","6.784,0","6.784,0","6.729,0","279,88K","-0,41%"
"28.12.2023","6.767,0","6.767,5","6.802,5","6.725,5","441,13K","-0,01%"
"27.12.2023","6.768,0","6.773,0","6.840,0","6.761,0","497,10K","-0,04%"
"26.12.2023","6.771,0","6.750,0","6.771,0","6.720,0","432,32K","0,40%"
"25.12.2023","6.744,0","6.748,0","6.784,0","6.730,0","359,57K","0,17%"
"22.12.2023","6.732,5","6.711,0","6.795,0","6.708,5","542,52K","0,46%"
"21.12.2023","6.702,0","6.730,0","6.774,0","6.633,5","1,04M","-0,49%"
"20.12.2023","6.735,0","6.709,5","6.849,0","6.696,0","978,87K","0,39%"
"19.12.2023","6.709,0","6.735,0","6.771,0","6.690,0","679,32K","-0,22%"
"18.12.2023","6.723,5","6.580,0","6.761,5","6.526,0","1,26M","2,49%"
"15.12.2023","6.560,0","6.397,0","6.632,0","6.381,0","2,43M","-4,37%"
"14.12.2023","6.860,0","7.040,0","7.084,5","6.850,5","1,22M","-2,61%"
"13.12.2023","7.043,5","7.000,0","7.062,5","6.914,0","572,31K","0,41%"
"12.12.2023","7.014,5","7.000,0","7.100,0","6.813,0","1,40M","0,54%"
"11.12.2023","6.977,0","7.183,0","7.189,0","6.929,0","1,03M","-2,28%"
"08.12.2023","7.140,0","7.119,0","7.173,0","7.092,0","425,36K","0,68%"
"07.12.2023","7.092,0","7.145,0","7.173,0","7.071,0","477,11K","-0,64%"
"06.12.2023","7.138,0","7.269,0","7.275,0","7.051,5","649,13K","-1,52%"
"05.12.2023","7.248,5","7.136,0","7.250,0","7.136,0","557,09K","1,63%"
"04.12.2023","7.132,5","7.170,0","7.199,5","7.110,5","669,87K","-0,60%"
"01.12.2023","7.175,5","7.239,0","7.272,5","7.162,5","491,06K","-0,88%"
"30.11.2023","7.239,0","7.205,5","7.285,5","7.170,0","609,31K","0,51%"
"29.11.2023","7.202,0","7.229,0","7.238,0","7.186,0","303,51K","-0,50%"
"28.11.2023","7.238,0","7.223,0","7.245,5","7.161,0","402,14K","0,21%"
"27.11.2023","7.222,5","7.301,0","7.345,0","7.212,0","608,77K","-0,99%"
"24.11.2023","7.295,0","7.262,0","7.320,0","7.255,0","418,78K","0,51%"
"23.11.2023","7.258,0","7.301,0","7.330,0","7.251,5","391,94K","-0,56%"
"22.11.2023","7.299,0","7.211,0","7.299,0","7.207,0","677,60K","1,25%"
"21.11.2023","7.209,0","7.180,5","7.216,0","7.137,5","482,15K","0,20%"
"20.11.2023","7.194,5","7.225,5","7.226,0","7.161,0","424,45K","-0,43%"
"17.11.2023","7.225,5","7.135,5","7.234,0","7.080,5","764,21K","1,26%"
"16.11.2023","7.135,5","7.221,5","7.236,0","7.120,5","556,00K","-1,23%"
"15.11.2023","7.224,0","7.184,0","7.257,0","7.138,0","609,13K","0,33%"
"14.11.2023","7.200,0","7.285,0","7.285,0","7.165,0","611,77K","-1,06%"
"13.11.2023","7.277,5","7.296,0","7.325,0","7.270,0","443,49K","-0,15%"
"10.11.2023","7.288,5","7.270,0","7.304,5","7.238,5","496,78K","0,39%"
"09.11.2023","7.260,0","7.291,0","7.307,0","7.221,0","587,98K","-0,48%"
"08.11.2023","7.295,0","7.341,0","7.373,0","7.277,0","579,53K","-0,52%"
"07.11.2023","7.333,5","7.370,0","7.380,0","7.295,5","594,82K","-0,58%"
"06.11.2023","7.376,0","7.243,0","7.387,5","7.221,0","642,15K","1,91%"
"03.11.2023","7.238,0","7.268,0","7.278,0","7.210,5","364,96K","-0,21%"
"02.11.2023","7.253,5","7.257,5","7.292,0","7.217,0","477,29K","0,19%"
"01.11.2023","7.240,0","7.152,0","7.266,0","7.130,5","612,59K","1,25%"
"31.10.2023","7.150,5","7.231,0","7.264,0","7.107,0","1,02M","-1,35%"
"30.10.2023","7.248,0","7.299,5","7.315,0","7.228,0","769,66K","-0,96%"
"27.10.2023","7.318,0","7.227,0","7.338,0","7.136,5","1,81M","1,24%"
"26.10.2023","7.228,5","7.455,0","7.498,0","7.211,0","2,89M","-2,81%"
"25.10.2023","7.437,5","7.430,0","7.444,0","7.207,0","1,32M","-0,09%"
"24.10.2023","7.444,0","7.478,0","7.487,5","7.417,0","818,52K","-0,25%"
"23.10.2023","7.462,5","7.510,5","7.549,0","7.452,5","858,64K","-0,39%"
"20.10.2023","7.491,5","7.499,5","7.509,5","7.405,0","982,82K","0,07%"
"19.10.2023","7.486,0","7.480,0","7.495,0","7.416,5","984,45K","-0,03%"
"18.10.2023","7.488,0","7.399,0","7.535,0","7.365,0","2,59M","1,40%"
"17.10.2023","7.384,5","7.347,5","7.394,0","7.264,0","1,63M","0,67%"
"16.10.2023","7.335,0","7.275,0","7.349,0","7.234,5","1,47M","1,26%"
